
东南风	afwr
快得	nntj
慢跑	njkh
飞溅	nuim
壁球	nkgg
快艇	nntu
心力	nyen
局促不安	nwdp
壁挂	nkrf
心绪	nyxf
那支	ngfc
改掉	ntrh
买走	nufh
快意	nnuj
忧患	ndkk
恒久	ngqy
尾楼	neso
买些	nuhx
书柜	nnsa
飞机票	nssf
怪石	ncdg
导热	nfrv
发奋	ntdl
改天	ntgd
心田	nyll
忧心	ndny
民防	naby
憨厚	nbdj
慨叹	nvkc
那才	ngft
发明奖	njuq
那不	ngdh
飞轮	nulw
眉目	nhhh
情报局	nrnn
心房	nyyn
改判	ntug
民宅	napt
怜惜	nwna
敢打	nbrs
以儆效尤	nwud
民革	naaf
悟性	ngnt
司空见惯	npmn
已尽	nnny
居首位	nuwu
发霉	ntft
迅即	nfvb
怦然	ngqd
愤然	nfqd
发话	ntyt
发奖	ntuq
怪病	ncug
买药	nuax
情敌	ngtd
情愫	ngng
发狂	ntqt
惊天动地	ngff
飞刀	nuvn
心肠	nyen
怪人	ncww
羽翼	nnnl
心腹	nyet
惨白	ncrr
避风	nkwr
飞腾	nueu
异国他乡	nlwx
屠格涅夫	nsig
避税	nktu
尾盘	netu
惊世	nyan
翌日	nujj
改口	ntkk
异构	nasq
屠宰场	npfn
以不变应万变	ndyy
惜败	namt
书斋	nnyd
那帮	ngdt
忙活	nyit
那日	ngjj
快说	nnyu
心坎	nyfq
慰问信	nuwy
收录机	nvsw
乙类	nnod
飞回	nulk
快件	nnwt
剧变	ndyo
那可	ngsk
飞瀑	nuij
性器官	nkpn
蛋类	nhod
惊心	nyny
懒人	nsww
以怨报德	nqrt
愣住	nlwy
避险	nkbw
情意绵绵	nuxx
局外人	nqww
性急	ntqv
慢速	njsk
情变	ngyo
屈指可数	nrso
快看	nnrh
情深似海	niwi
屈居	nbnd
那封	ngff
心弦	nyxy
慢慢来	nngu
居功自傲	natw
发廊	ntoy
情迷	ngop
情报所	nrrn
发丝	ntxx
习气	nurt
以防万一	nbgg
飞碟	nuda
心中有数	nkdo
改作	ntwt
性腺	nter
那群	ngvt
发明家	njpg
发软	ntlq
快攻	nnat
那会儿	nwqt
发电站	njuh
心寒	nypa
快马	nncg
剧作家	nwpg
层次感	nudg
怀揣	ndrm
恨恨	nvnv
心平气和	ngrt
情事	nggk
发家	ntpg
刷子	nmbb
必死	ntgq
以文会友	nywd
以火救火	nogo
尼姑	nxvd
憎恶	nugo
臂膀	nkey
心上人	nhww
改道	ntut
丑态百出	nddb
发麻	ntos
心安	nypv
心性	nynt
民间艺术	nuas
惊惶	nynr
怕冷	nruw
避风港	nwia
尽数	nyov
戳穿	nwpw
心知肚明	ntej
慵懒	nons
恬不知耻	ndtb
惊魂未定	nffp
异质	narf
愤恨	nfnv
惊骇	nycg
尿毒症	ngug
民权	nasc
恢弘	ndxc
怀特	ndcf
怅然若失	nqat
忙乱	nytd
收汇	nhia
民有	nade
心机	nysw
司徒	ngtf
悍马	njcg
那在	ngdh
敢情	nbng
居高	ndym
惯常	nxip
情面	ngdl
敢不敢	ndnb
尼克松	ndsw
壁炉	nkoy
飞涨	nuix
书记员	nykm
心明眼亮	njhy
尸骨	nnme
层叠	nfcc
怡情	ncng
飞镖	nuqs
尼尔森	nqss
惊扰	nyrd
异类	naod
情义	ngyr
尺子	nybb
悟空	ngpw
惜别	nake
发情	ntng
尿频	nihh
飞鹰	nuow
必由之路	nmpk
恰如	nwvk
尺码	nydc
心如刀绞	nvvx
惴惴不安	nndp
发愤图强	nnlx
飞沫	nuig
情场	ngfn
情绪化	nxwx
毋庸置疑	nolx
习武	nuga
尿布	nidm
司马迁	nctf
避让	nkyh
买受人	neww
怜爱	nwep
丑女	nhvv
悔过	ntfp
收税	nhtu
避过	nkfp
已发	nnnt
民意测验	nuic
收报	nhrb
属相	ntsh
恼人	nyww
履带	ntgk
发痒	ntuu
快照	nnjv
忧郁症	ndug
发迹	ntyo
迟浩田	nill
居里夫人	njgw
必杀技	nrrf
心心相印	nnsq
收放	nhyt
已非	nnhd
收编	nhxy
怯懦	nfnf
敢想	nbsh
快得多	ntqq
怕死	nrgq
导轨	nflv
收兵	nhrw
惨淡经营	nixa
慢吞吞	nggd
迟滞	nyig
惯于	nxgf
必经之地	nxpf
书简	nntu
司法权	nisc
情牵	ngdp
收归	nhjv
书呆子	nkbb
悄声	nifn
发条	ntts
那台	ngck
局促	nnwk
收进	nhfj
以之	nypp
犀牛	nitg
心口	nykk
情思	ngln
屠夫	nfgg
恍若	niad
懵懂	nana
买账	numt
恨不能	ndce
心想事成	nsgd
怀表	ndge
收割机	npsw
已付	nnwf
怪诞	ncyt
发函	ntbi
蛋壳	nhfp
尽人皆知	nwxt
惶惶	nrnr
恼羞成怒	nudv
以身试法	ntyi
屋脊	ngiw
居心叵测	nnai
慰问品	nukk
尼采	nxes
惊雷	nyfl
那所	ngrn
尼日尔	njqi
导火线	noxg
尸检	nnsw
慷慨解囊	nnqg
飞鱼	nuqg
发去	ntfc
怪罪	nclh
屈膝	nbes
收信	nhwy
书商	nnyu
敢做	nbwd
惨状	ncud
心软	nylq
异体	naws
怡然自得	nqtt
刷刷	nmnm
悦目	nuhh
心经	nyxc
丑小鸭	nilq
屡禁不止	nsdh
尸首	nnut
尿酸	nisg
尽力而为	nedy
剧种	ndtk
以少胜多	nieq
飞花	nuaw
心旷神怡	njpn
怪味	nckf
愤愤不平	nndg
改嫁	ntvp
怀恨	ndnv
屡获	noaq
恒心	ngny
屏息	nuth
心如止水	nvhi
飞来飞去	ngnf
导言	nfyy
心怀鬼胎	nnre
乙烷	nnop
避而不谈	nddy
局外	nnqh
飞檐	nusq
壁灯	nkos
尽失	nytg
丑化	nhwx
以此为荣	nhya
忧思	ndln
飞蛾扑火	njro
发冷	ntuw
心计	nyyf
情味	ngkf
惶惑	nrak
收齐	nhyj
展播	nart
以权谋私	nsyt
发件人	nwww
恬淡	ntio
收纳	nhxm
疏离	nhyr
买者	nuft
惊惧	nynh
避讳	nkyf
司仪	ngwy
慰安	nfpv
收礼	nhpy
避难所	ncrn
以观后效	ncru
以旧换新	nhru
愤青	nfge
心醉	nysg
懦夫	nfgg
愤懑	nfia
惊惶失措	nntr
书展	nnna
买办	nuew
那批	ngrx
蛋清	nhig
心志	nyfn
尾灯	neos
惊厥	nydu
怕事	nrgk
恒山	ngmm
司令官	nwpn
屋门	nguy
避雨	nkfg
敢干	nbfg
飞逝	nurr
懂行	natg
恍如	nivk
展室	napg
发报	ntrb
那面	ngdl
收服	nheb
懒腰	nses
必败	ntmt
遐思	nhln
民委	natv
心甘情愿	nfnd
心室	nypg
买通	nuce
快板	nnsr
异族	nayt
惦念	nowy
劈头	nkud
情同手足	nmrk
以暴易暴	njjj
劈开	nkga
懵懵懂懂	nnnn
屈服于	negf
乙炔	nnon
改错	ntqa
异端	naum
眉宇	nhpg
疏密	nhpn
慰问团	nulf
尼古拉	ndru
毋须	nned
刁钻	ngqh
惨无人道	nfwu
羽化	nnwx
壁垒森严	ncsg
情郎	ngyv
心猿意马	nquc
尾数	neov
孱弱	nbxu
恨得	nvtj
乙脑	nney
居间	nduj
忌惮	nnnu
尸身	nntm
心服	nyeb
壁虎	nkhw
心包	nyqn
己见	nnmq
忌妒	nnvy
慨然	nvqd
眉眼	nhhv
心肝	nyef
怀古	nddg
虱子	ntbb
怪胎	ncec
发牌	ntth
民治	naic
恫吓	nmkg
心静	nyge
懊丧	ntfu
已往	nnty
悍然	njqd
情史	ngkr
殿下	nagh
眉梢	nhsi
发髻	ntde
怪癖	ncun
发酸	ntsg
那层	ngnf
屡教不改	nfdn
改小	ntih
惊为天人	nygw
迅疾	nfut
习题集	njwy
避雷器	nfkk
异己	nann
民怨沸腾	nqie
居心不良	nndy
毋宁	nnps
层状	nfud
悟道	ngut
敢当	nbiv
屈指	nbrx
悔之不及	npdb
收购站	nmuh
怀胎	ndec
惊起	nyfh
情报网	nrmr
慰劳	nfap
那口	ngkk
心急如焚	nqvs
眉心	nhny
熨斗	nfuf
发下	ntgh
慢悠悠	nwwh
心有灵犀一点通	ndvc
心窝	nypw
飞弹	nuxu
恺撒	nmra
憾事	ndgk
尿样	nisu
尽速	nysk
尽孝	nyft
屡见不鲜	nmdq
丑态	nhdy
飞禽	nuwy
书摊	nnrc
发愤	ntnf
改革者	naft
发兵	ntrw
尽善尽美	nunu
惟其	nwdw
改日	ntjj
买春	nudw
以貌取人	nebw
民愤	nanf
飞升	nuta
心无二用	nffe
买给	nuxw
情态	ngdy
发夹	ntgu
刷洗	nmit
懒懒散散	nnaa
以逸待劳	nqta
情诗	ngyf
屠刀	nfvn
飞离	nuyr
怀恋	ndyo
屈从	nbww
飞艇	nutu
心细	nyxl
层析	nfsr
收腹	nhet
惊闻	nyub
情真意切	nfua
发轫	ntlv
心领	nywy
怕热	nrrv
愣是	nljg
发落	ntai
以此类推	nhor
改姓	ntvt
恍若隔世	naba
壁橱	nksd
改期	ntdw
居心	ndny
展览厅	njds
惨绝人寰	nxwp
快手	nnrt
那番	ngto
层压	nfdf
慢走	njfh
收拢	nhrd
居里	ndjf
毋庸	nnov
发指	ntrx
翠柏	nysr
屋主	ngyg
发案率	npyx
乙型	nnga
心中无数	nkfo
尽忠报国	nkrl
惘然	nmqd
丑行	nhtg
恨死	nvgq
恻隐之心	nbpn
忌口	nnkk
那匹	ngaq
发配	ntsg
心有余悸	ndwn
懒汉	nsic
心照不宣	njdp
心驰神往	ncpt
心神不定	npdp
心腹大患	nedk
心曲	nyma
慰问电	nujn
怯场	nffn
翠玉	nygy
悼词	nhyn
避嫌	nkvu
屈尊	nbus
乙胺	nnep
怪笑	nctt
忙忙碌碌	nndd
发际	ntbf
发人深省	nwii
悔罪	ntlh
书卷	nnug
怅惘	ntnm
居处	ndth
民脂民膏	neny
必经之路	nxpk
司空	ngpw
情夫	nggg
辟邪	nkah
居功	ndae
惊涛	nyid
性灵	ntvo
刁民	ngna
发汗	ntif
惟利是图	ntjl
情丝	ngxx
迅雷	nffl
异曲同工	nmma
书面语	ndyg
书橱	nnsd
尽心竭力	nnue
怀想	ndsh
收效甚微	nudt
情致	nggc
忏悔录	nnvi
书虫	nnjh
飞蛾	nujt
眉笔	nhte
情投意合	nruw
以身殉职	ntgb
丑角	nhqe
惊叹号	nkkg
民以食为天	nnwg
劈头盖脸	nuue
民族主义	nyyy
收押	nhrl
买成	nudn
迟暮	nyaj
收购量	nmjg
尿床	nios
飞贼	numa
怪谈	ncyo
心浮	nyie
劈波斩浪	nili
心潮	nyif
收条	nhts
慢步	njhh
惊蛰	nyrv
臂力	nken
居留权	nqsc
尼加拉瓜	nerr
情非得已	nhtn
怪模怪样	nsns
改革派	nair
惟妙惟肖	nvni
心有灵犀	ndvn
恨意	nvuj
避雷针	nfqf
惊涛骇浪	nici
心潮澎湃	niii
飞旋	nuyt
忧国忧民	nlnn
以假乱真	nwtf
羽扇纶巾	nyxm
以工代赈	nawm
尸横遍野	nsyj
懒虫	nsjh
劈柴	nkhx
异口同声	nkmf
剧减	ndud
心惊胆战	nneh
忧国	ndlg
恰如其分	nvdw
尽如人意	nvwu
心神不宁	npdp
遐迩	nhqi
敢言	nbyy
飞红	nuxa
发怵	ntns
怕生	nrtg
发扬光大	nrid
丑八怪	nwnc
收费处	nxth
心满意足	niuk
发刊词	nfyn
避寒	nkpa
飞蝗	nujr
壁立	nkuu
民初	napu
尽职尽责	nbng
羽坛	nnff
心魔	nyos
慢火	njoo
尽欢	nycq
慢腾腾	neeu
怕羞	nrun
惺忪	njnw
忌日	nnjj
怆然	nwqd
异邦	nadt
惜墨如金	nlvq
心肝宝贝	nepm
慢镜头	nqud
眉清目秀	niht
屈就	nbyi
心术	nysy
收罗	nhlq
惯犯	nxqt
书箱	nnts
恨入骨髓	ntmm
居安思危	nplq
以小见大	nimd
丑剧	nhnd
譬喻	nkkw
怀春	nddw
民怨	naqb
悍匪	njah
惊梦	nyss
怪论	ncyw
慢车	njlg
屠城	nffd
发妻	ntgv
买饭	nuqn
刷屏	nmnu
层出不穷	nbdp
异性恋	nnyo
屡战屡败	nhnm
已阅	nnuu
飞虫	nujh
性情中人	nnkw
心狠	nyqt
尾鳍	neqg
导播	nfrt
以诚待人	nytw
收账	nhmt
尸位素餐	nwgh
情有可原	ndsd
刷白	nmrr
慌里慌张	njnx
忧愤	ndnf
恨之入骨	nptm
心浮气躁	nirk
怪哉	ncfa
心悦诚服	nnye
屎尿	noni
异体字	nwpb
惊世骇俗	nacw
惊险片	nbth
民粹	naoy
心如死灰	nvgd
心灰意冷	nduu
心贴心	nmny
发展中国家	nnkp
屡禁不绝	nsdx
习以为常	nnyi
惯用语	neyg
心有不甘	nddf
以泪洗面	niid
发人深思	nwil
慌慌张张	nnxx
展览品	njkk
心直口快	nfkn
以卵击石	nqgd
以邻为壑	nwyh
迅雷不及掩耳	nfdb
以诚相待	nyst
避凶趋吉	nrff
以柔克刚	ncdm
避实击虚	npgh
心惊肉跳	nnmk
屏气凝神	nrup
悄无声息	nfft
憨态可掬	ndsr
飞黄腾达	naed
迟疑不决	nxdu
情理之中	ngpk
尽心尽力	nnne
书亭	nnyp
异想天开	nsgg
戮力同心	nemn
心脑血管	nett
飞沙走石	nifd
发愿	ntdr
悔棋	ntsd
书名号	nqkg
发达国家	ndlp
愤世嫉俗	navw
壁立千仞	nutw
悔之晚矣	npjc
慢条斯理	ntdg
改弦更张	nxgx
异军突起	nppf
以权代法	nswi
尾注	neiy
以毒攻毒	ngag
避实就虚	npyh
飞扬跋扈	nrky
民不聊生	ndbt
心安理得	npgt
异端邪说	nuay
怦然心动	nqnf
恰是	nwjg
发改委	nntv
书社	nnpy
心甘	nyfg
以飨读者	nxyf
书坊	nnfy
忡忡	nknk
以人为本	nwys
惊呆	nyks
飞针走线	nqfx
民调	naym
异想	nash
眉目传情	nhwn
屁眼	nxhv
书皮	nnbn
快打	nnrs
避短	nktd
发洋财	nimf
居左	ndda
居右	nddk
惺惺相惜	nnsn
惊慌失措	nntr
眉飞色舞	nnqt
必争之地	nqpf
书友	nndc
惊弓之鸟	nxpq
买楼	nuso
怕不怕	ndnr
发飙	ntdd
怪杰	ncso
异能	nace
心电	nyjn
恢恢	ndnd
民丰	nadh
壁柜	nksa
心算	nyth
懒猫	nsqt
飞絮	nuvk
殿内	namw
悱恻	nhnm
情杀	ngrs
发烫	ntin
慎防	nfby
疏影	nhjy
避雷	nkfl
愣愣	nlnl
忙不迭	ndtg
书林	nnss
异于	nagf
屡有	node
愧对	nrcf
屡试不爽	nydd
那类	ngod
怡和	nctk
避暑山庄	njmo
异乎寻常	ntvi
必不可少	ndsi
异兽	naul
憨态	nbdy
情痴	ngut
快捷方式	nrya
慢点	njhk
民妇	navv
心气	nyrt
心狠手辣	nqru
惨祸	ncpy
慢板	njsr
司马光	ncig
惜售	nawy
收心	nhny
惭色	nlqc
屁话	nxyt
发梢	ntsi
层峦	nfyo
怪才	ncft
民主派	nyir
心死	nygq
发昏	ntqa
飞散	nuae
心胆俱裂	newg
臂腕	nkep
展映	najm
发凉	ntuy
居高不下	nydg
司职	ngbk
以资鼓励	nufd
恻隐	nmbq
快如	nnvk
屡受	noep
屡创	nowb
收租	nhte
改办	ntew
改订	ntys
发炮	ntoq
书家	nnpg
熨帖	nfmh
愣头愣脑	nune
屋角	ngqe
买官	nupn
屈曲	nbma
以防不测	nbdi
展架	naek
心力交瘁	neuu
那厮	ngdd
情种	ngtk
情分	ngwv
怄气	nart
屏气	nurt
必纠	ntxn
尉迟	nfny
忙乎	nytu
屠戮	nfnw
民告官	ntpn
改锥	ntqw
翠鸟	nyqg
书册	nnmm
司库	ngol
避光	nkig
惧色	nhqc
惊出	nybm
怕得	nrtj
尽然	nyqd
心服口服	neke
心冷	nyuw
收存	nhdh
心硬	nydg
心锁	nyqi
尿检	nisw
璧玉	nkgy
臂章	nkuj
习艺	nuan
飞落	nuai
飞霜	nufs
飞洒	nuis
飞撒	nura
惯坏	nxfd
剧终	ndxt
发晕	ntjp
刷墙	nmff
臀围	nalf
发榜	ntsy
尾矿	nedo
收摊	nhrc
情由	ngmh
避忌	nknn
殿军	napl
心灰意懒	ndun
戳破	nwdb
忤逆	ntub
心凉	nyuy
发紧	ntjc
犀鸟	niqg
忙里偷闲	njwu
居下	ndgh
疏解	nhqe
心灰	nydo
悍妇	njvv
导通	nfce
慎密	nfpn
情债	ngwg
怪声	ncfn
尾骨	neme
翼展	nlna
怕苦	nrad
改线	ntxg
恨透	nvtb
刷地	nmfb
尿湿	niij
买空卖空	npfp
惊风	nywr
展柜	nasa
异父	nawr
屈伸	nbwj
避世	nkan
心口不一	nkdg
疏落	nhai
发花	ntaw
居奇	ndds
眉批	nhrx
快吃	nnkt
飞泻	nuip
憨直	nbfh
憨笑	nbtt
惊悉	nyto
飞灾	nupo
发困	ntls
壁报	nkrb
屋舍	ngwf
书场	nnfn
收执	nhrv
快追	nntn
怪僻	ncwn
劈山	nkmm
眉开眼笑	nght
壁饰	nkqn
屡犯	noqt
发虚	ntho
心药	nyax
屋架	ngek
司务	ngte
惺惺作态	nnwd
发号	ntkg
屈身	nbtm
尾大不掉	nddr
飞泉	nuri
心象	nyqk
悼文	nhyy
悔过书	nfnn
飞来横祸	ngsp
飞掠	nury
恬静	ntge
眉睫	nhhg
习字	nupb
发辫	ntux
买肉	numw
书案	nnpv
屋梁	ngiv
收讫	nhyt
辟谷	nkww
收揽	nhrj
怡悦	ncnu
那项	ngad
尿血	nitl
怜恤	nwnt
改元	ntfq
发薪	ntau
发嗲	ntkw
发闷	ntun
翠色	nyqc
屈打成招	nrdr
刷掉	nmrh
剧务	ndte
惊心动魄	nnfr
发痛	ntuc
收审	nhpj
收载	nhfa
异姓	navt
遐迩闻名	nquq
书影	nnjy
居次	nduq
怪道	ncut
导尿	nfni
情有独钟	ndqq
收车	nhlg
疏朗	nhyv
惊喜若狂	nfaq
层层叠叠	nncc
习用	nuet
翼侧	nlwm
屈死	nbgq
局子	nnbb
心轴	nylm
惨境	ncfu
展眼	nahv
以点带面	nhgd
那回	nglk
劈面	nkdl
书函	nnbi
敢讲	nbyf
熨平	nfgu
屡经	noxc
性饥渴	nqij
居官	ndpn
愠怒	njvc
发蒙	ntap
发蜡	ntja
情切	ngav
眉端	nhum
壁毯	nkeo
尾追	netn
心胆	nyej
民主党派	nyii
忧悒	ndnk
忧色	ndqc
恍悟	ning
刷锅	nmqk
层云	nffc
司炉	ngoy
悔婚	ntvq
恬适	nttd
剧坛	ndff
怪相	ncsh
忧欢	ndcq
忧戚	nddh
忧惧	ndnh
民强	naxk
怕累	nrlx
愠色	njqc
惨象	ncqk
忌辰	nndf
翌晨	nujd
以退为进	nvyf
慢用	njet
忧心如焚	nnvs
屡试	noya
收队	nhbw
怪怨	ncqb
怪样	ncsu
遐龄	nhhw
惧内	nhmw
以偏概全	nwsw
民约	naxq
劈去	nkfc
劈啪	nkkr
导护	nfry
发号施令	nkyw
书脊	nniw
收订	nhys
展颜	naut
怔忡	ngnk
惨况	ncuk
飞驶	nucg
恰遇	nwjm
尺蠖	nyja
司寇	ngpf
民变	nayo
飞地	nufb
丑怪	nhnc
飞仔	nuwb
收束	nhsk
劈叉	nkcy
忌恨	nnnv
已退	nnvp
劈手	nkrt
疏懒	nhns
民夫	nagg
丑时	nhjf
心黑	nylf
愤激	nfir
壁龛	nkwg
发油	ntim
屡建奇功	nvda
殿试	naya
异母	naxn
眉尖	nhid
发绿	ntxv
改色	ntqc
展宽	napa
忖度	nfoa
飞报	nurb
届期	nmdw
慰勉	nfqk
丑话	nhyt
民享	nayb
丑类	nhod
悭吝	njyk
发愣	ntnl
恰值	nwwf
丑样	nhsu
刁悍	ngnj
刁横	ngsa
心裁	nyfa
怪态	ncdy
忧劳	ndap
忧烦	ndod
恪遵	ntus
悖谬	nfyn
屈才	nbft
快婿	nnvn
屡传	nowf
改革开放	nagy
恰到好处	ngvt
心如刀割	nvvp
慎于	nfgf
快慰	nnnf
民贼	nama
书坛	nnff
戮力	nwen
心不在焉	nddg
性解放	nqyt
异教	naft
发功	ntae
怯弱	nfxu
快马加鞭	ncea
疏狂	nhqt
情窦初开	nppg
改扮	ntrw
惯偷	nxww
心宽	nypa
屎壳郎	nfyv
壁上观	nhcm
惊堂木	niss
发祥地	npfb
愣头青	nuge
慢工出细活	nabi
司马昭之心	ncjn
尼古拉斯	ndrd
心有余而力不足	ndwk
居无定所	nfpr
心无旁骛	nfyc
心无杂念	nfvw
心静如水	ngvi
以小人之心	niwn
习惯成自然	nndq
心烦气躁	nork
快乐大本营	ntda
快乐男声	ntlf
心手相连	nrsl
以智取胜	ntbe
以德服人	ntew
必先利其器	nttk
敢怒而不敢言	nvdy
敢怒不敢言	nvdy
快刀斩乱麻	nvlo
情人眼里出西施	nwhy
履薄临深	naji
忆苦思甜	nalt
以工补农	napp
以其昏昏	ndqq
怯防勇战	nbch
履险如夷	nbvg
必有勇夫	ndcg
习非成是	nhdj
飞砂走石	ndfd
居大不易	nddj
必有一得	ndgt
屠龙之技	ndpr
以石投水	ndri
尽态极妍	ndsv
民胞物与	necg
怪声怪气	nfnr
以直报怨	nfrq
习焉不察	ngdp
愧不敢当	ndni
以一持万	ngrg
情不可却	ndsf
改恶从善	ngwu
情至义尽	ngyn
屡战屡胜	nhne
惊鸿一现	nigg
戳脊梁骨	niim
情深意浓	niui
怪里怪气	njnr
惊蛇入草	njta
异口同音	nkmu
改辕易辙	nljl
心黑手辣	nlru
发凡起例	nwfw
心同此理	nmhg
情见势屈	nmrn
尺幅千里	nmtj
情见乎辞	nmtt
已见分晓	nmwj
必居其一	nndg
懒懒洋洋	nnii
心心相连	nnsl
怡情养性	nnun
恹恹欲睡	nnwh
心粗气浮	nori
居之不疑	npdx
飞灾横祸	npsp
虱多不痒	nqdu
以势压人	nrdw
必先与之	ntgp
以升量石	ntjd
悖入悖出	ntnb
心血管病	nttu
心痒难挠	nucr
以产定销	nupq
以意逆志	nuuf
以意为之	nuyp
心余力绌	nwex
异途同归	nwmj
怜贫惜老	nwnf
以蠡测海	nxii
心织笔耕	nxtf
慎终如始	nxvv
情文并茂	nyua
以言代法	nywi
慢慢地	nnfb
慌恐	naaw
屉子	nabb
慌了	nabn
民屯	nagb
臀鳍	naqg
民瘼	naua
展卷	naug
民命	nawg
憨然	nbqd
敢斗	nbuf
憨痴	nbut
敢保	nbwk
憨傻	nbwt
惨苦	ncad
怪谲	ncyc
居业	ndoh
居先	ndtf
屠苏	nfae
怯阵	nfbl
丑星	nhjt
慰唁	nfky
导发	nfnt
导标	nfsf
丑相	nhsh
丑诋	nhyq
司药	ngax
恒齿	nghw
懒床	nsos
疏苗	nhal
疏虞	nhhk
收没	nhiw
收抚	nhrf
收操	nhrk
眉棱	nhsf
收自	nhth
疏剪	nhue
疏阔	nhui
尿炕	nioy
悄寂	niph
憬悟	njng
慢件	njwt
劈胸	nkeq
璧还	nkdh
劈刺	nksm
翼翅	nlfc
翼然	nlqd
刷拉	nmru
书贩	nnmr
书眉	nnnh
忆想	nnsh
书牍	nnth
快像	nnwq
屡失	notg
愧赧	nrfo
惶遽	nrhg
惶悚	nrns
愧恨	nrnv
怕官	nrpn
履平	ntgu
改点	nthk
改辙	ntly
发凡	ntwy
改业	ntoh
发粉	ntow
恤金	ntqq
发绺	ntxt
发市	ntym
憎爱	nuep
飞归	nujv
买客	nupt
屏条	nuts
屏门	nuuy
飞经	nuxc
恨煞	nvqv
怆痛	nwuc
恰像	nwwq
惯骗	nxcg
惯贼	nxma
惯窃	nxpw
惯技	nxrf
惯养	nxug
惯盗	nxuq
心散	nyae
心邪	nyah
心盛	nydn
翠山	nymm
迟慢	nynj
尽让	nyyh
心手相应	nrso
局骗	nncg
发坏	ntfd
收好	nhvb
惴惴	nmnm
蛋疼	nhut
屌丝	nkxx
尼玛	nxgc
心塞	nypa
快钱	nnqg
快钱支付	nqfw
刷机	nmsw
民院	nabp
民运	nafc
以牙还牙	nada
臀尖	naid
民品	nakk
民田	nall
异界	nalw
展业	naoh
民爆	naoj
心荡神驰	napc
民家	napg
改革家	napg
心荡神迷	napo
惜福	napy
屈臣氏	naqa
民本	nasg
异种	natk
异乎	natu
展缓	naxe
民计	nayf
展评	nayg
民诉	nayr
异说	nayu
屈节	nbab
悦耳动听	nbfk
憨豆	nbgk
情随事迁	nbgt
屈驾	nbek
以子之矛	nbpc
憨实	nbpu
以耳代目	nbwh
尽欢而散	ncda
惨厉	ncdg
怪脸	ncew
司马懿	ncfp
性能超群	ncfv
快马一鞭	ncga
惨毒	ncgx
惨景	ncjy
惨跌	nckh
惨杀	ncrs
惨笑	nctt
惨变	ncyo
书面通知	ndct
书面声明	ndfj
避而远之	ndfp
发聋振聩	ndrb
必有后福	ndrp
书面材料	ndso
剧透	ndtb
心腹之交	nepu
心胸狭窄	neqp
必胜的	nerq
导医	nfat
导刊	nffj
悖理	nfgj
收支平衡	nfgt
导员	nfkm
忖思	nfln
导图	nflt
导轮	nflw
迅急	nfqv
慰留	nfqy
慰抚	nfrf
剧场版	nfth
屏声息气	nftr
惊喜欲狂	nfwq
恃才傲物	nfwc
导纳	nfxm
恒基	ngdw
情花	ngaw
那也	ngbn
懒怠	nsck
恒丰	ngdh
迅速地	nsfb
司南	ngfm
刁顽	ngfq
司考	ngft
悟到	nggc
怙恶不悛	ngdn
怀玉	ndgy
恒源	ngid
刁滑	ngim
情深	ngip
懒觉	nsip
恒昌	ngjj
悚惧	nsnh
心不烦	ndod
怀宁	ndps
恒安	ngpv
悚然	nsqd
懒猪	nsqt
懒鬼	nsrq
以下的	ngrq
民政部	nguk
惨不忍闻	ndvu
怀集	ndwy
刁蛮	ngyo
收菜	nhae
收殓	nhgq
怪叔叔	nhhi
收治	nhic
快步流星	nhij
收监	nhjt
收口	nhkk
收转	nhlf
收贿	nhmd
收尸	nhnn
蛋粉	nhow
蛋挞	nhrd
以上的	nhrq
收生	nhtg
蛋筒	nhtm
收管	nhtp
收卷	nhug
蛋卷	nhug
蛋羹	nhug
收阅	nhuu
眉目如画	nhvg
眉黛	nhwa
收红	nhxa
收线	nhxg
尿壶	nifp
情溢于表	nigg
惊鸿一瞥	nigi
犀浦	niis
恒河沙数	niio
尿路	nikh
尿裤	nipu
恒源祥	nipy
犀角	niqe
尿急	niqv
尿桶	nisc
尿片	nith
尿闭	niuf
导游证	niyg
情深义重	niyt
悍勇	njce
飞蛾赴火	njfo
发明专利	njft
慢咽	njkl
慢摇	njre
慢热	njrv
慢歌	njsk
慢待	njtf
避邪	nkah
心中有鬼	nkdr
劈腿	nkev
劈脸	nkew
避震	nkfd
忙中添乱	nkit
尽忠尽职	nknb
避害	nkpd
劈杀	nkrs
忧患意识	nkuy
心口如一	nkvg
劈刀	nkvn
以史为鉴	nkyj
避谈	nkyo
以力服人	neew
翼虎	nlhw
飞轮海	nlit
异国风光	nlwi
愣怔	nlng
惭怍	nlnt
心回意转	nlul
心力衰竭	neyu
刷鞋	nmaf
层见叠出	nmcb
尸骨无存	nmfd
尸骨未寒	nmfp
避风塘	nwfo
导购员	nmkm
劈风斩浪	nwli
刷怪	nmnc
怏怏	nmnm
恻然	nmqd
刷钱	nmqg
刷版	nmth
慷慨陈辞	nnbt
书厨	nndg
书页	nndm
书肆	nndv
慢慢腾腾	nnee
愉快地	nnfb
局地	nnfb
羽翼未丰	nnfd
咫尺天涯	nngi
忌酒	nnis
快当	nniv
快男	nnle
快邮	nnmb
书迷	nnop
羽冠	nnpf
快客	nnpt
尸解	nnqe
羽泉	nnri
快歌	nnsk
乙等	nntf
快闪	nnuw
羽灵	nnvo
快女	nnvv
心情舒畅	nnwj
司局级	nnxb
快线	nnxg
羽纱	nnxi
书费	nnxj
